
Delta Timestamp,Old Label,New label,head.x,head.y,head.z,leftShoulder.x,leftShoulder.y,leftShoulder.z,leftElbow.x,leftElbow.y,leftElbow.z,leftWrist.x,leftWrist.y,leftWrist.z,leftHand.x,leftHand.y,leftHand.z,leftFingerTip.x,leftFingerTip.y,leftFingerTip.z,leftHip.x,leftHip.y,leftHip.z,leftKnee.x,leftKnee.y,leftKnee.z,leftAnkle.x,leftAnkle.y,leftAnkle.z,leftFoot.x,leftFoot.y,leftFoot.z,rightShoulder.x,rightShoulder.y,rightShoulder.z,rightElbow.x,rightElbow.y,rightElbow.z,rightWrist.x,rightWrist.y,rightWrist.z,rightHand.x,rightHand.y,rightHand.z,rightFingerTip.x,rightFingerTip.y,rightFingerTip.z,	rightHip.x,rightHip.y,rightHip.z,rightKnee.x,rightKnee.y,rightKnee.z,rightAnkle.x,rightAnkle.y,rightAnkle.z,rightFoot.x,rightFoot.y,rightFoot.z,spine.x,spine.y,spine.z,shoulderCenter.x,shoulderCenter.y,shoulderCenter.z,leftThumb.x,leftThumb.y,leftThumb.z,rightThumb.x,rightThumb.y,rightThumb.z,ballX,ballY
67,free_gestures,free_gestures,-1.5848608159307225E-6,9.416644252947907E-6,8.084880771921641E-6,-1.2492510809827207E-6,3.0625222334221227E-6,2.1671181294455457E-6,-9.785837201929804E-7,-6.404163232490198E-7,1.5906433560954992E-6,1.9490274030770828E-5,-5.968471071613369E-6,-1.9511180137520406E-5,-3.483669081730629E-5,-2.56473448739123E-5,-4.3637716948096434E-5,1.158807704697794E-4,-7.66333359390942E-5,-6.074691886332498E-5,2.6412419418790447E-5,-4.884800804195119E-6,6.76468237122493E-6,-2.090677396575017E-5,3.228258730760261E-5,-3.0368121702279617E-5,1.2297238876570516E-5,1.478613312564679E-4,-9.54350428794747E-5,1.3834727344228261E-5,1.4631427935699918E-4,-9.617520802056611E-5,2.393082006653743E-7,2.56700302237895E-6,7.6222775587395055E-6,-1.141162060979587E-6,2.404758289678773E-6,2.1866898038494053E-5,5.444750856997362E-5,5.4974164535750205E-6,5.866520440400536E-5,1.1066236157915486E-4,-5.3485160443320204E-5,-9.401520686363107E-5,-1.2502630255115566E-5,-1.0360221364604893E-4,4.56482616823111E-5,3.204414092782718E-5,-1.8927810797050819E-6,9.07769843713561E-6,2.914826288374502E-5,2.991219065082607E-5,5.839831793486183E-5,-1.856998832368139E-5,-1.737875724906352E-5,5.612088673150362E-5,-1.677620544362424E-5,-1.760116264001647E-5,5.564404957330049E-5,3.6669088833367648E-6,2.9308582419779764E-6,5.241650253979128E-6,-2.7656110364999346E-6,7.34516044161213E-6,8.390910589872901E-6,-4.4804455629035606E-5,1.1360912180658597E-5,-3.489451621895406E-5,2.110671641221687E-5,-1.057068358606367E-4,1.8398797334130131E-4,0.0,0.0
67,free_gestures,free_gestures,-1.296845834646652E-6,4.521946408855381E-6,3.5229013926947294E-6,-2.227834801175701E-6,3.40458172470776E-6,1.6546961086899487E-6,-7.588471939314658E-7,7.197038451237465E-7,-5.551238558185634E-7,6.816280421926015E-6,-1.7701245065945298E-6,-1.035163651651411E-5,3.3445322691504635E-6,-6.0472025800107134E-5,-1.1614899137126865E-5,1.1456991309550271E-4,-5.597098549800133E-5,-9.949883418296701E-5,2.2401560598344944E-5,-1.778575911450742E-6,5.1491296113427005E-6,-2.0855398320440036E-5,3.1752817666352687E-5,-3.119724899975221E-5,1.0890969589575013E-5,1.3550982546450488E-4,-9.295833644582264E-5,1.1697633942561364E-5,1.3419140630693577E-4,-9.33924717689628E-5,-2.882373866750233E-7,1.6288970833394064E-6,4.779047040796992E-6,-2.5598860498684555E-7,3.3979095629791716E-6,1.7034473703868354E-5,5.048557893553776E-5,6.280950645902264E-6,4.942381559912838E-5,5.1964685988070357E-5,-4.377233893124025E-4,-4.432806328161439E-5,-1.5344693144755576E-4,-2.527979772482345E-4,2.7282914118980293E-5,2.5358162264325725E-5,-2.0879418102662955E-6,7.664979393802473E-6,-7.381051111577162E-6,2.175436091067186E-5,5.033122959421642E-5,-5.454047402339195E-5,8.60949060810146E-5,2.1240604457570544E-5,-5.3124140892455826E-5,8.503625642007856E-5,2.0852729455748602E-5,2.6300549507141113E-6,2.1597787515440986E-6,4.1563119461287315E-6,-3.5634903765436428E-6,4.953412867304104E-6,6.5796410859520755E-6,-1.6304984021542677E-5,-8.578264891211667E-5,3.295514120984433E-5,4.934202601660543E-5,-6.14165814954843E-4,-7.123733634379373E-5,0.0,0.0
73,free_gestures,free_gestures,8.598786510833322E-7,6.043747679827965E-6,2.191491322974636E-6,-1.4729695777370506E-6,5.822883893365729E-6,-1.998796854933647E-6,2.55279345055149E-6,-2.239021944673094E-5,5.225612692636986E-7,1.3460035193456363E-5,-2.5640407653704082E-5,-1.23128499070259E-5,6.91005628402919E-6,-7.924498760536926E-5,-1.5977310807737586E-5,1.1540602331292139E-4,-8.259080860712757E-5,-1.839611628284193E-4,2.887824626818095E-5,-2.5941288634522322E-6,4.180490154109589E-6,-1.6038752581975232E-5,2.6682060058802776E-5,-2.407047846545912E-5,7.65735972417544E-6,1.1951629429647368E-4,-8.09708686724101E-5,1.2613730887844138E-5,1.1810047985756233E-4,-8.204865129026648E-5,5.650295786661644E-6,9.554297956701828E-6,1.269170682724208E-5,1.726830250596347E-5,-5.43177944340118E-7,3.940438571041577E-5,6.797236122497141E-5,-3.909003244687433E-7,5.119467434817798E-5,8.303008667410237E-5,-3.757074679413887E-4,-5.009076366685841E-5,-7.895921191124067E-5,-1.7848978303883174E-4,8.013477064158818E-5,3.3545983980779775E-5,-1.9239848607207E-6,1.1613924209385702E-5,-5.247875129523343E-6,1.9800989595178057E-5,5.2092826529724954E-5,-3.918331779845774E-5,6.387984915955425E-5,2.200636145186751E-5,-3.379989058187563E-5,6.280859855756367E-5,2.0990632984736194E-5,4.21815130808582E-6,2.840610399638137E-6,5.973528509270655E-6,-3.6328214488617362E-6,6.133971148974275E-6,9.037043950329089E-6,6.332789381889447E-6,-7.589120570927451E-5,4.586128339375535E-5,1.3418745708792176E-4,-1.933619584122749E-4,-4.3731846221505776E-5,0.0,0.0
77,free_gestures,free_gestures,1.4373814904844607E-6,2.684531273779931E-6,1.76491675438819E-7,-3.2337455006388873E-7,4.2919214669760175E-6,-4.310112494926948E-6,2.9972621372767857E-6,-2.1842005964997527E-5,3.1273086349685473E-7,1.2234433904870764E-6,-2.4700126090607086E-5,-1.4865553224241578E-5,2.2061459429852375E-8,-3.79399045721277E-6,-4.525308485154982E-5,1.1811124814021123E-4,4.773016099805956E-6,-1.434350942636465E-4,1.2720947141771193E-5,-1.5522365446214553E-6,-1.9630828461089692E-6,-1.709898570915321E-5,2.4953058787754605E-5,-2.3934748265650367E-5,-3.458424047990279E-6,-3.499411917352057E-5,8.422058898133117E-6,1.3113021850585938E-6,-3.491516237135057E-5,7.669647018630783E-6,5.958626022586575E-6,7.875166930161514E-6,9.70084945876877E-6,1.6081836316492652E-5,-1.406805081800981E-6,2.9217113148082387E-5,4.0999577417002096E-5,-4.045568503342666E-6,1.3304995251940442E-5,5.198405547575517E-5,-2.3994817362203225E-4,-4.756915104853642E-5,-4.6273717632541407E-5,-1.1595812710848722E-4,1.6906663968965606E-4,1.608747263233383E-5,-3.4688742129833667E-7,6.226750163288859E-6,-7.869712040795908E-6,9.63234282159186E-6,2.6065033751648742E-5,3.265123814344406E-5,2.27403331112552E-5,-4.112565672242796E-5,3.705664791844108E-5,2.2350193618179914E-5,-4.1970958957424414E-5,3.058995519365583E-6,1.7409200792188767E-6,2.6938203093293427E-6,1.4233511763733704E-7,3.287544498195896E-6,3.827082646357549E-6,2.1140296737869063E-6,-1.6013290975000952E-4,1.8067174143605418E-5,1.1671590921166655E-4,-3.515569033560815E-4,-6.093916954932275E-5,0.0,0.0
66,free_gestures,free_gestures,6.440914038455848E-6,7.770278237082742E-6,-4.302371631969105E-6,1.5932953718936804E-6,6.206559412407152E-6,-1.1743921222108783E-5,8.58848745172674E-7,-1.3154225819038622E-5,-1.1754758430249764E-5,9.34302806854248E-6,-1.3863724289518414E-5,-1.1028665484804096E-5,3.1913320223490395E-5,-1.153620806607333E-5,-4.848566922274503E-5,1.6944426478761614E-5,2.1022829142483797E-5,-2.021861798835523E-4,1.479007981040261E-5,1.4333336642294219E-6,-1.043984384247751E-6,3.2209085695671313E-6,-2.3390307570948745E-6,4.79004599831321E-6,-1.7624009739268909E-6,-2.6339834386652168E-5,1.2144897923325047E-5,7.506572838985559E-6,-2.6633342107137043E-5,1.0674650018865412E-5,1.2307681820609353E-5,1.3590762109467477E-5,1.5782587455980707E-5,4.788296240748781E-5,1.036590247443228E-5,6.82310624556108E-5,4.46571996717742E-5,3.164916327505401E-6,1.2910727298620975E-5,8.881340424219768E-5,-1.2020044254534172E-5,-1.0030558615019827E-4,7.710470394654708E-5,-9.137121113863858E-6,-2.7881246624570906E-4,1.83094208213416E-5,1.7336146398024126E-6,9.63789044004498E-6,6.945521542520234E-6,8.755561077233517E-7,1.0360370982776988E-5,1.197299835356799E-5,6.875305464773467E-6,-1.135016932631984E-5,2.1108228600386418E-5,6.3018365339799365E-6,-1.2874603271484375E-5,1.513608025782036E-5,6.145374341444536E-6,3.3053484829989346E-6,2.058900215409019E-5,9.68665787667939E-6,2.0265579223632812E-6,-4.77920879017223E-6,3.038114219000845E-4,2.3274710684111625E-5,1.4398111538453534E-4,-1.563183737523628E-4,-2.720897847955877E-4,0.0,0.0
89,free_gestures,free_gestures,7.573222176412518E-6,6.448017077499561E-6,-3.9191728227593925E-6,7.524249259005772E-7,-9.57692607065265E-8,-1.4286362723018346E-5,-1.6444854522019289E-6,-8.866274624728085E-6,-1.4109557934021681E-5,1.8521975935175177E-5,-1.0683462860878934E-5,-1.67401988854569E-5,2.4842747141805926E-5,3.813173663750123E-5,-1.175216074739949E-5,-4.439374034324389E-5,5.153558227453339E-5,-1.2167116229453783E-4,2.996891402126698E-5,-3.6964925487389725E-6,-1.328714777914326E-6,3.6653507961316055E-6,-2.88680698094743E-6,4.390652260083831E-6,1.7010763789830584E-6,-7.1059452014023E-5,1.6962544301922403E-5,1.5661622701066263E-5,-7.14237770337737E-5,1.5124846040532831E-5,1.7408490850684347E-5,1.5280219946014746E-5,2.6062633214371927E-5,4.8131169228071576E-5,1.92603368437692E-5,6.893511568562368E-5,5.1689951607350556E-5,1.1636802319730266E-5,9.526027722305127E-6,1.1452270692653871E-4,9.73514626535137E-6,-6.768676672088966E-5,1.8308889330103157E-4,3.087922428431136E-5,-7.191936621505223E-5,3.569090759821152E-5,-3.6156244492262936E-7,1.8296616800715414E-5,7.643741084618515E-6,1.0075863827480358E-6,2.5192003571585324E-5,1.04016802284155E-5,1.366620653131035E-5,-8.513418476233322E-6,2.428676849335767E-5,1.252032397838121E-5,-1.0503811782665466E-5,1.3742888911386554E-5,4.674444037876772E-6,3.994180915061008E-6,1.441971974426441E-5,7.76836041654094E-6,2.2663159316845154E-6,1.0405698519074515E-5,7.432565260469243E-5,6.624018208364423E-5,1.4535856715748818E-4,6.685313883792148E-5,-2.0314602369672798E-4,0.0,0.0
77,free_gestures,free_gestures,6.809830665588379E-6,5.657796735887403E-6,-3.5422188895089287E-6,3.276320246907024E-7,-2.668662504716353E-6,-1.3178045099431818E-5,-4.981245313371931E-6,1.160529526797208E-5,-1.728689515745485E-5,1.4578754251653498E-5,1.0419782105978434E-5,-1.66831078467431E-5,2.5073429206749062E-5,6.658419386132971E-5,-8.542816360275467E-6,-6.103244694796476E-5,8.916545223880123E-5,-5.280507075322139E-5,2.675358351174887E-5,-3.360792413934485E-6,-1.0186975652521306E-6,1.2952398944210696E-6,-1.003602882484337E-6,7.493155343191964E-7,4.183162342418324E-6,-7.753016112686752E-5,1.5484822260869015E-5,1.632238363290762E-5,-7.775619432523653E-5,1.4004769263329443E-5,1.4513924524381563E-5,1.0020934142075576E-5,2.2250336486023742E-5,3.903813950427167E-5,2.5733531295479117E-5,5.714305035479657E-5,3.923320925080931E-5,1.9286166537891734E-5,5.480530974152801E-6,9.88695915643271E-5,-1.3433687098614582E-5,-6.931787961489194E-5,1.5296090345878107E-4,-1.5057913668743976E-5,-1.3535982602602475E-4,3.151468593965877E-5,-4.1065277991356787E-7,1.6806961654068586E-5,7.387758655981584E-6,1.3213653069037896E-6,2.3526030701476258E-5,1.7132464941445884E-6,3.014833896191089E-5,-1.2221274437842432E-5,1.3890869721963807E-5,2.891831583790965E-5,-1.3896397181919643E-5,1.4174100640532258E-5,4.589170604557186E-6,2.5699665020038555E-6,1.701035282828591E-5,7.473803185797357E-6,-2.2293685318587662E-7,-8.163901118489055E-6,8.321563144782921E-5,6.17597010228541E-5,8.372914094429512E-5,-2.7381502962731694E-4,-2.5533081649185775E-4,0.0,0.0
79,free_gestures,free_gestures,1.4176568653010115E-5,4.869473131397102E-6,-5.954428564144086E-6,4.154217394092415E-6,-1.2258940105196796E-5,-3.052361403839498E-5,-5.365172518959529E-6,6.470499159414557E-6,-2.7375885202914853E-5,4.061452950103373E-5,-8.548739590222322E-6,-1.087701773341698E-4,7.919571067713483E-5,-3.3803416203848926E-4,8.41013992889018E-5,1.946118059037607E-4,7.306850409205956E-5,1.309189615370352E-4,4.400822180735914E-5,-2.697298798380019E-6,-5.81862051275712E-6,4.590500759173043E-6,1.6606306727928452E-6,-2.112569688241693E-8,5.125433583802815E-6,-7.509581650359721E-5,2.2990794121464596E-5,3.139335143415234E-5,-7.631884345525427E-5,1.9674059710925137E-5,2.3981438407415076E-5,2.901199497754061E-5,4.388109038147745E-5,5.368171613427657E-5,3.674060483522053E-5,7.762788217278975E-5,6.547136397301396E-5,2.906744993185695E-5,1.672853397417672E-5,1.128520580786693E-4,-2.7062583573256866E-5,-3.888033613373962E-5,1.6396785084205339E-4,-1.0231627693659142E-5,-2.677018129372899E-4,5.393205328455454E-5,5.939810336390628E-6,3.3903725539581685E-5,5.3785151884525635E-5,-3.3031536054007615E-6,3.52738778802413E-5,4.063018515140195E-6,2.8026254871223545E-5,-1.0203711594207377E-5,3.035781504232672E-5,2.585408053820646E-5,-1.3704541363293611E-5,1.8548267551615268E-5,6.707597382460968E-6,6.186811229850672E-6,1.5877187252044678E-5,9.196845791007899E-6,2.752376508109177E-6,1.3916665994668308E-4,-5.199594210974778E-4,1.3569336903246143E-4,1.0438367158551759E-4,-2.3432660706435577E-4,-1.536834089061882E-4,0.0,0.0
90,free_gestures,free_gestures,9.383426772223579E-6,1.1192427741156684E-7,-2.9166539510091144E-6,2.941820356580946E-6,-1.312361823187934E-5,-2.1033816867404515E-5,-2.7037329143948027E-6,-3.3706426620483397E-6,-1.457267337375217E-5,3.4642219543457034E-5,-1.6816622681087918E-5,-8.966922760009766E-5,4.922813839382596E-5,-3.0751741594738433E-4,1.050657696194119E-4,1.667161782582601E-4,2.3398134443495008E-5,1.8804603152804903E-4,3.4530129697587756E-5,-4.198816087510851E-6,-4.784266153971354E-6,4.183914926317003E-6,1.176860597398546E-6,1.6954210069444445E-7,3.894666830698649E-6,-5.0540102852715386E-5,1.480049557156033E-5,2.357446485095554E-5,-5.156530274285211E-5,1.2416309780544704E-5,1.682233479287889E-5,2.203649944729275E-5,3.368059794108073E-5,2.6203526390923393E-5,2.1678292089038427E-5,3.7384033203125E-5,4.2270123958587644E-5,1.8200940555996364E-5,9.947352939181857E-6,6.259100304709541E-5,6.1800082524617515E-6,3.179974026150173E-5,1.3757190770573085E-4,4.113846355014377E-5,1.4167361789279514E-5,4.224522660175959E-5,3.936307297812568E-6,2.6406182183159723E-5,4.33562013010184E-5,-3.6756197611490884E-6,2.8149286905924478E-5,3.6065570182270472E-6,7.279713948567709E-6,1.4040205213758681E-6,2.330055253373252E-5,5.712774064805773E-6,-1.0861290825737847E-6,6.644924481709798E-6,2.0773874388800725E-6,4.757775200737847E-6,-1.4557606644100613E-6,2.2570292154947917E-6,3.361701965332031E-6,1.42936905225118E-4,-6.768996516863505E-4,1.1470582750108506E-4,5.8148056268692017E-5,2.0932108163833617E-4,8.2193480597602E-5,0.0,0.0
66,free_gestures,free_gestures,1.562104532212922E-5,-2.8131586132627544E-6,-3.84720889004794E-6,1.7261414816885285E-5,-2.5471503084356133E-5,-5.719155976266572E-5,-2.347610213539817E-6,-2.759875673236269E-6,-5.062421162923177E-5,6.864874651937774E-5,-1.921120918158329E-5,-1.3948570598255503E-4,5.153092471036044E-5,1.4782629229805686E-5,-1.2959855975526753E-4,1.2918629429557106E-4,1.860703482772365E-5,-9.023781978722775E-6,4.207884723489935E-5,3.4938707496180677E-7,-5.2090847130977744E-6,4.596782453132398E-6,-1.7671874075224906E-5,1.334060322154652E-5,-2.7409105589895537E-6,-2.1566044200550426E-5,3.905368573737867E-5,3.374006712075436E-5,-2.396648580377752E-5,3.474408929998224E-5,2.4579804052006114E-5,2.7719320672931094E-5,4.9865607059363164E-5,3.197179599241777E-5,2.9234046285802666E-5,4.436391772645892E-5,6.882033564827658E-5,2.6562900254220672E-5,2.4318695068359375E-5,6.377109975525828E-5,2.06559444918777E-5,4.194722031102036E-5,1.072751527482813E-4,2.8341105490019828E-5,-1.0379516717159387E-4,5.567542305498412E-5,9.530082796559189E-6,3.6149313955596E-5,6.900231043497722E-5,1.560106421961929E-6,2.0402850526751894E-5,1.8893317742781207E-5,-3.257935697382147E-5,1.433762637051669E-5,5.517407517993089E-5,-3.4823562159682766E-5,1.0060541557543205E-5,1.5042722225189209E-5,2.3670268781257398E-6,8.124293703021426E-6,5.881443168177749E-8,1.899220726706765E-6,4.374619686242306E-6,1.280881238706184E-4,-3.613540620514841E-4,-1.8109697284120503E-4,7.910462039889711E-5,4.4591950647758715E-5,1.2571522683808297E-4,0.0,0.0
