
Delta Timestamp,Old Label,New label,head.x,head.y,head.z,leftShoulder.x,leftShoulder.y,leftShoulder.z,leftElbow.x,leftElbow.y,leftElbow.z,leftWrist.x,leftWrist.y,leftWrist.z,leftHand.x,leftHand.y,leftHand.z,leftFingerTip.x,leftFingerTip.y,leftFingerTip.z,leftHip.x,leftHip.y,leftHip.z,leftKnee.x,leftKnee.y,leftKnee.z,leftAnkle.x,leftAnkle.y,leftAnkle.z,leftFoot.x,leftFoot.y,leftFoot.z,rightShoulder.x,rightShoulder.y,rightShoulder.z,rightElbow.x,rightElbow.y,rightElbow.z,rightWrist.x,rightWrist.y,rightWrist.z,rightHand.x,rightHand.y,rightHand.z,rightFingerTip.x,rightFingerTip.y,rightFingerTip.z,	rightHip.x,rightHip.y,rightHip.z,rightKnee.x,rightKnee.y,rightKnee.z,rightAnkle.x,rightAnkle.y,rightAnkle.z,rightFoot.x,rightFoot.y,rightFoot.z,spine.x,spine.y,spine.z,shoulderCenter.x,shoulderCenter.y,shoulderCenter.z,leftThumb.x,leftThumb.y,leftThumb.z,rightThumb.x,rightThumb.y,rightThumb.z,ballX,ballY
69,free_gestures,free_gestures,-2.5601382704748623E-5,4.388283992159194E-7,2.560408219047215E-6,-3.1573185022326484E-5,-1.8454116323719855E-5,-4.728289618008379E-5,-7.045117841250655E-5,-1.0865948338439499E-4,-3.088384434796762E-5,-2.2218711134316266E-5,-9.747579747783965E-5,2.106721850409024E-5,-5.822596342667289E-5,-9.223262684932654E-5,-9.723331617272419E-5,-7.305240285569343E-5,-1.0720197705255039E-5,1.3051516767861187E-4,-2.1382842374884564E-5,-3.446163474649623E-6,-3.99091969365659E-6,-1.805221688920173E-5,-1.602933026742244E-5,1.4975451040959012E-5,-2.130434133004451E-5,-3.5330869149470673E-7,-1.299899557362432E-5,-1.0955592860346255E-6,-9.294869243234828E-7,-1.3334163721056951E-5,-2.5461765303128008E-5,-4.716541456139606E-6,1.4775041220844656E-5,-2.995694892993872E-5,3.0267497767572817E-5,3.633637359176857E-5,-5.522543105526247E-5,3.237123398677163E-5,4.687171051467674E-5,-5.176684994628464E-5,9.149215791536415E-5,7.568926051043081E-5,-4.043613654979761E-5,4.113854273505833E-5,4.8319498697916664E-5,-1.8837983193604842E-5,9.525405324023702E-7,5.525091420049253E-6,-4.179073848586152E-5,4.656720852506334E-6,-1.2542890465777854E-6,1.2525613757147305E-8,-4.3148579804793646E-7,-4.664711330247962E-7,2.0022301570228908E-5,-1.0219173154969146E-6,-8.120053056357563E-7,-4.541443195194006E-5,-1.8935272659080615E-6,-1.1022540106289629E-6,-6.563750271132027E-5,-1.6283297884291497E-6,-3.966732301573822E-6,-3.998694212540336E-5,-2.2531727301901665E-4,-6.613524063773777E-5,-4.739649053932964E-6,1.8464709105698958E-4,2.0455623018568842E-6,0.0,0.0
82,free_gestures,free_gestures,-2.8982361006300623E-5,-2.184292165244498E-6,-3.2186508178710938E-6,-4.4608988412996616E-5,-2.401958151561458E-5,-6.718751860827935E-5,-7.2832332878578E-5,-7.834848834247124E-5,-5.827589732844655E-5,-2.006114256091234E-5,-6.681157094312877E-5,-4.024040408250762E-6,3.261900529628847E-7,-7.676242328271633E-5,-1.2643453551501761E-4,9.339829770530143E-5,-7.292146726352413E-5,-2.844159196062786E-5,-2.1348639232356375E-5,-6.612117697552937E-6,-1.2746671350990853E-5,-2.8497289593626814E-5,-1.5352193902178508E-5,4.4369116062071264E-6,-2.159541699944473E-5,7.207073816439001E-7,-1.631713495021913E-5,5.757118143686434E-6,4.506692653749047E-8,-1.6744543866413396E-5,-3.799632555100976E-5,-1.0380657707772604E-5,1.8457087074838035E-5,-3.696487444203074E-5,3.240566428114728E-5,3.3840900514183975E-5,-6.148110075694759E-5,3.529662584386221E-5,4.8829288017459034E-5,-5.552536103783584E-5,6.87330597784461E-5,1.029677507353992E-4,-2.109513777058299E-5,-4.042367019304415E-5,2.211361396603468E-4,-1.8537862271797366E-5,-3.0559646647150925E-6,4.0850988248499425E-6,-3.833096565269842E-5,2.3770986533746488E-6,-6.187252882050305E-6,3.96243682721766E-7,-1.3229323596489139E-6,-1.8666430217463795E-6,2.7542070644657785E-5,-1.997482485887481E-6,-2.299867025235804E-6,-4.379832038156143E-5,-3.1663150322146534E-6,-6.230866036764005E-6,-6.200311273881576E-5,-1.2778654331114233E-6,-9.859480508943883E-6,8.546978962130663E-5,-2.1316215577648907E-4,-1.3223799263558736E-4,-1.4861545911649379E-5,1.1226116884045484E-4,7.802974887010527E-5,0.0,0.0
83,free_gestures,free_gestures,-2.098449853708945E-5,-1.8872410418039344E-6,-6.6527401108339606E-6,-3.1765505491969095E-5,-1.1114470929984586E-5,-4.267405314617846E-5,-5.113342440271952E-5,-6.626169365572643E-5,-3.8813395672533884E-5,-1.2056655194385943E-5,-5.909334868192673E-5,-4.0990760527461405E-6,2.881256212671119E-5,-7.907404418451241E-5,-7.175537477056664E-5,9.273208049406488E-5,-9.93134566100247E-5,-3.15258301884295E-5,-1.481121563049684E-5,-4.269541746162507E-6,-1.2934926044510072E-5,-1.7894050443028828E-5,-4.0376760873449856E-7,-5.977699555546405E-6,-4.909304251153785E-6,2.0875988236392837E-5,-1.7869903380612294E-5,1.1900641832006982E-5,2.0370425948177476E-5,-1.8154282167733432E-5,-2.7276485799306846E-5,-7.912696125995682E-6,1.1613570063947196E-5,-1.8040458840059948E-5,9.694551847067225E-6,1.566094088267131E-5,-4.3651784758969965E-5,1.443868660065065E-5,4.143600004265107E-5,-4.234856151672731E-5,2.527156149048403E-5,3.646655255053417E-5,2.1733971963445825E-5,-1.8572053277348897E-5,1.685877880418157E-5,-1.4876834599368544E-5,-2.380146319607654E-6,2.9960310602762613E-6,-1.8967113581048436E-5,-1.5516956168484976E-6,-1.091554940464985E-6,-9.72794481070645E-7,-1.8412808337843562E-6,-2.0682093608810241E-7,1.5794243439134345E-5,-2.164438546422016E-6,-4.6821961919945406E-7,-2.055254158934197E-5,-2.2581542830869375E-6,-6.000679659556193E-6,-2.050726865249944E-5,-1.7608504697500942E-6,-7.548964167215738E-6,1.5485340572265257E-4,-2.0720504493598478E-4,-6.629760006824171E-5,-1.846487263599074E-5,-3.412702536008444E-5,9.747872869652438E-5,0.0,0.0
71,free_gestures,free_gestures,-3.2556456395647896E-5,-2.1424092037577024E-6,-1.4842396051111355E-5,-5.147805516148957E-5,-2.8938474789471695E-5,-7.109910669461102E-5,-7.867813110351562E-5,-6.350686012859076E-5,-7.038049294914998E-5,-1.892877716413686E-4,-1.0040854956482498E-4,-2.6056800090091327E-4,-2.2726705376531036E-4,4.74220635303834E-4,-4.70970717953964E-4,-1.7640078571480765E-4,-2.6038205119925484E-5,-2.4348245540135343E-4,-2.1810472851068203E-5,-1.379412034867515E-5,-2.0628244104519695E-5,-2.5829483925456734E-5,-1.718880425036793E-6,-6.527967855963908E-6,-9.663927722984636E-6,2.862114301869567E-5,-2.3341514694858604E-5,2.0793416130710655E-5,2.7702727787931202E-5,-2.361351335552377E-5,-4.5516121555382096E-5,-6.619473578224719E-6,2.2814307414310078E-5,-4.3860833409806373E-5,1.3134009401563188E-5,4.0259159786600464E-5,-9.173574581952162E-5,3.294594271082274E-5,1.4460254722917584E-4,-3.889538872409874E-5,9.33799105630794E-6,1.2947807849293024E-4,2.1907015585563553E-5,-2.8574865468790833E-5,1.5912593250543298E-4,-1.737727245814364E-5,-5.515790741208573E-6,4.288176415671765E-6,-3.0326801286616795E-5,-5.0319752223055125E-6,2.1323351792886224E-6,-3.941042322508046E-6,-3.6812164414096886E-7,-5.661601751623019E-6,2.645344381601038E-5,-1.046859042745241E-6,-5.906736347037302E-6,-3.390174570598338E-5,-1.0628935316918602E-5,-1.0053876420141945E-5,-4.181065137537432E-5,-1.2961911483549736E-5,-1.335479843784386E-5,-2.1103339295991709E-4,3.853073133759096E-4,-3.2615997421909387E-4,-3.49810005913318E-5,-8.660418466782906E-5,1.7876356420382648E-4,0.0,0.0
98,free_gestures,free_gestures,-1.7359513048158615E-5,-2.718093443890007E-6,-1.7239122974629305E-5,-3.067160747489151E-5,-1.931038438057413E-5,-5.146921897421078E-5,-3.411894550128859E-5,8.498527565780952E-6,-5.7797042690977756E-5,-4.069765611570709E-5,-2.3572572640010287E-5,-1.7713527290188537E-4,-6.797499194437143E-5,2.4227577508712303E-5,-1.811202691525829E-4,-1.334421792808844E-4,1.3442976134163992E-5,-3.3343568140146686E-4,-1.199254576040774E-5,-1.5273614197361225E-5,-1.528068464629504E-5,-1.7732533873343956E-5,-2.339026149438352E-6,-7.806992044254225E-6,-1.1756864129280557E-5,-8.461730820792062E-6,5.442268994389748E-6,1.1577594036958656E-5,-8.888390599464884E-6,5.427671938526387E-6,-3.430551412154217E-5,-4.657677241734096E-6,2.1221686382682955E-5,-4.3047021846381986E-5,2.166127063790146E-5,2.707997146917849E-5,-3.6095630149452054E-5,3.2854779642455434E-5,8.779399249018455E-5,-2.635589667728969E-5,-1.974928439879904E-5,1.424186083735252E-4,-3.314717691771838E-5,-4.982758237391102E-5,2.801612931854871E-4,-8.637579728145989E-6,-3.51317683044745E-6,4.196653560716279E-6,-2.124776341477219E-5,-1.0734918166180047E-6,-1.9633040136220504E-6,-6.200783714956167E-6,4.0731867965386835E-6,-2.693156806790099E-6,1.7084561440409447E-5,3.544651732152822E-6,-2.7247837611607143E-6,-1.5723782298107612E-5,-6.704306115909499E-6,-8.223008136360013E-6,-2.12385927383997E-5,-6.162998627643196E-6,-1.1611957939303652E-5,2.19813414982387E-5,1.0822500501360212E-4,-2.8942069228814573E-4,2.138012525986652E-6,-7.356319348422849E-5,4.0385187888632015E-5,0.0,0.0
66,free_gestures,free_gestures,-1.65329406489477E-5,-8.63364248564749E-7,-1.8921765414151277E-5,-2.312773104869958E-5,-1.812342441443241E-5,-4.238070863665956E-5,-3.382631323554299E-5,-3.6374637574860542E-6,-4.57041191332268E-5,-5.8734055721398555E-5,-5.3899898899324015E-5,-2.3599465688069662E-4,-1.6221042835351193E-4,3.492075837019718E-5,-2.1350383758544922E-4,-3.905546936121854E-4,9.935270204688564E-5,-3.233172676780007E-4,-1.363783623232986E-5,-1.806675484686187E-5,-1.1025053082090436E-5,-9.797174822200429E-6,-1.157097744219231E-6,-1.4485734881776753E-6,-1.2899212764971184E-5,-1.382918068856904E-5,1.4763889890728574E-5,8.892832380352598E-6,-1.4225641886393229E-5,1.4922835610129617E-5,-3.0350052949154016E-5,1.050306088996656E-6,2.402609044855291E-5,-4.931087746764674E-5,2.3545415112466522E-5,3.615292635830966E-5,-3.494660962711681E-5,3.877363986138141E-5,1.1869632836544153E-4,-2.4268347205537737E-5,-1.9069422375072133E-5,1.6267010659882516E-4,-6.528356761643381E-5,1.9245414119778257E-5,1.9176801045735678E-4,-9.487862839843288E-6,-4.2389288093104505E-7,6.932200807513612E-6,-2.7616705858346187E-5,3.210522911765359E-7,3.4606817996863164E-6,-9.686432101509787E-6,7.240609689192339E-6,-2.167441628196023E-6,1.2081455100666393E-5,6.676623315522165E-6,-2.0373951305042612E-6,-1.641006361530868E-5,-8.000568910078568E-6,-5.620898622455019E-6,-2.31229474372936E-5,-9.265812960537998E-6,-9.139378865559896E-6,-1.1535530740564519E-4,1.899765973741358E-4,-3.345915765473337E-4,1.6683881933038886E-5,-5.5666053385445565E-5,-3.484162417325106E-5,0.0,0.0
84,free_gestures,free_gestures,-2.500345553493216E-5,-5.14161019098191E-6,-2.1917479378836496E-5,-2.5110762743722825E-5,-2.1680125168391635E-5,-4.5975049336751304E-5,-4.073693638756162E-5,-3.2897151651836576E-5,-4.4700645265125094E-5,-4.5302723135266986E-5,-6.907812452742032E-5,-1.7637298220679875E-4,-1.0652254734720503E-4,-5.001237704640343E-5,-6.0177984691801524E-5,-2.78044669401078E-4,-3.200645248095194E-5,-1.4292342322213308E-4,-2.3749257837023053E-5,-2.3330251375834148E-5,-9.931269146147229E-6,-1.166796400433495E-5,-1.8644190969921294E-6,-6.613277253650483E-7,-9.588542438688732E-6,-9.323514643169584E-6,1.2301263355073475E-5,1.4467963150569371E-5,-9.780838375999814E-6,1.2534005301339285E-5,-3.3376294942129226E-5,1.5153061775934128E-6,2.685614994594029E-5,-5.40099683262053E-5,1.9530277876626878E-5,5.103576750982375E-5,-3.21160824525924E-5,3.23671182351453E-5,1.2071075893583752E-4,2.743144120488848E-5,1.1768369447617305E-6,1.2637320018949963E-4,3.45082510085333E-5,4.243611225060054E-5,9.78594734555199E-5,-1.9515465412821088E-5,-5.6633282275426956E-8,1.090481167747861E-5,-3.563559481075832E-5,-8.246196167809622E-6,1.0640848250616164E-5,-8.23227067788442E-6,5.753622168586367E-6,-2.7645201910109746E-6,1.5815897356896174E-5,5.180637041727702E-6,-2.551646459670294E-6,-2.740755804725701E-5,-8.815101214817592E-6,-4.671868823823475E-6,-3.1689403667336415E-5,-8.497209776015508E-6,-8.957726614815848E-6,-2.9521967683519634E-4,1.858028450182506E-4,4.3647629874093195E-5,2.56344321228209E-5,5.786418027821041E-5,4.952010654267811E-5,0.0,0.0
83,free_gestures,free_gestures,-1.8439701679779822E-5,-5.258135048739881E-6,-1.6137778040874435E-5,-1.3143362769161362E-5,-8.30120350941118E-6,-2.838330096509083E-5,-2.5058187634111888E-5,-4.523005112107978E-5,-2.3847602936158697E-5,1.0401567062699651E-4,-4.3112088937357245E-5,4.029848489416651E-5,1.1541577706854027E-4,-5.353475957323449E-4,2.7022017053810946E-4,-3.776546702327499E-5,-1.0943188365683498E-4,3.21089503276779E-5,-2.0189457629100385E-5,-1.6081090792115912E-5,-5.340001669274755E-6,-7.60749161961567E-6,-8.20281993911927E-7,-1.0628298104527486E-6,-6.3466379441410665E-6,-1.3043004346181112E-5,1.4546405838196536E-5,8.755778691854822E-6,-1.3225767985883966E-5,1.473024667027485E-5,-2.211942730179752E-5,-7.166919938052993E-7,1.927743475121188E-5,-3.5181641578674316E-5,1.8225017800388566E-5,3.287303878600339E-5,2.3179384599249046E-6,1.9013096230575838E-5,3.990495061299887E-5,1.8685338008834655E-5,1.8474657133401157E-5,5.3603965115834434E-5,3.7918248808527565E-5,4.881889705198357E-5,-2.022249152861446E-5,-1.9762530384293523E-5,2.280865089002862E-6,1.036402690841491E-5,-2.908984939736056E-5,-5.592782813382436E-6,7.853450545345445E-6,-5.932996071964862E-6,4.296561321580266E-6,1.8384083207831325E-6,9.171844246875809E-6,3.974121737192912E-6,2.00214156185288E-6,-1.9290022683857254E-5,-2.087239759514131E-6,-2.128532133906721E-6,-1.681273444050766E-5,7.27463917559888E-7,-5.1906309932111255E-6,3.659940627684076E-5,-3.487638433475092E-4,2.5688022016042686E-4,3.740191459655762E-5,9.85174114445606E-5,-5.322766591267413E-6,0.0,0.0
68,free_gestures,free_gestures,-1.8514627727734694E-5,-8.914400549495922E-6,-7.881837732651655E-6,-1.9867192296420826E-5,-1.6164253739749684E-5,-3.487923566032858E-5,-2.388130216037526E-5,-5.692681845496683E-5,-2.2172927856445312E-5,8.00608712084153E-6,-5.221744889722151E-5,6.170833812040441E-6,3.030961927245645E-5,-7.83808748511707E-5,-8.98277058320887E-6,2.142364049659056E-4,-2.6749644209356866E-4,9.806366527781767E-5,-1.979794572381412E-5,-1.6792732126572554E-5,-6.780904882094439E-6,-2.232960918370415E-5,4.3585896492004395E-7,1.5847823199103861E-6,-7.117495817296645E-7,1.905507901135613E-5,-1.111451317282284E-5,1.5180777100955739E-5,1.8343329429626465E-5,-1.056054059196921E-5,-2.164612798129811E-5,-7.091199650483973E-7,1.3432082007913028E-5,-2.8716728967778824E-5,4.4120585217195395E-6,4.476659438189338E-5,-4.666342454798081E-5,1.5993356047307744E-5,9.887358721564797E-5,1.89001507618848E-5,3.343689091065351E-5,1.0953230016371782E-5,1.5608221292495728E-4,8.511411793091719E-6,1.803917043349322E-5,-1.8718268941430486E-5,-6.730832597788642E-6,8.281539468204274E-6,-2.5747891734628118E-5,-1.6212025109459373E-5,1.1899892021627988E-5,-2.0425547571743234E-6,1.6478931202607996E-7,-2.699739792767693E-6,1.3857203371384565E-5,-3.8743019104003906E-7,-2.1282364340389475E-6,-3.014207258649335E-5,-8.790808565476362E-6,-6.9141387939453125E-6,-3.6553140757057594E-5,-5.957834860857795E-6,-1.4049165389117073E-5,1.73295902855256E-4,-3.2184705795610654E-4,8.821487426757812E-6,-5.5505291504018445E-5,-3.36031593820628E-5,1.9845191170187558E-4,0.0,0.0
102,free_gestures,free_gestures,-2.1140285146733124E-5,-1.0660466025857364E-5,-8.503595987955729E-6,-2.1472573280334473E-5,-1.3875318508522183E-5,-3.288540185666552E-5,-2.0831531169367772E-5,-3.8565227798387115E-5,-2.6543935139973957E-5,1.0559664053075454E-5,-3.816850264282788E-5,-1.5466820959951364E-5,-8.407761068905101E-6,-3.446083442837584E-5,-7.962479310877184E-5,9.905108634163352E-5,-1.4913578828175862E-6,6.0483521106196385E-5,-1.5785150668200324E-5,-1.9158656690634934E-5,-7.147882498946844E-6,-1.697899664149565E-5,1.053307570663153E-6,-3.9736429850260414E-8,2.346932888031006E-6,3.350511485455083E-5,-1.1617062138576134E-5,1.7099520739387063E-5,3.279891668581495E-5,-1.1182298847273284E-5,-3.0126495688569312E-5,-1.0606120614444508E-7,1.2110261356129366E-5,-2.5621085774664787E-5,4.379188313203699E-6,4.313973819508272E-5,-3.175174488740809E-5,1.219340472244749E-5,8.00315071554745E-5,-3.0452422067230825E-6,2.483402689297994E-5,3.119543486950444E-5,-9.459783049190745E-5,2.074073634895624E-5,1.0340354021857766E-4,-1.2815509941063675E-5,-4.338648389367497E-6,5.287282607134651E-6,-2.5310864051183064E-5,-1.1960519295112759E-5,9.295987147910923E-6,-4.009581079670027E-6,9.895422879387351E-5,-4.570390663894952E-5,1.078077098902534E-5,9.769785637949027E-5,-4.534627877029718E-5,-2.4438451481389575E-5,-8.32682731104832E-6,-6.572872984643076E-6,-3.0722370937320534E-5,-6.550667332667931E-6,-1.1815744287827436E-5,1.0504894981197282E-4,-1.8653437933501075E-4,-9.313985413196041E-5,-6.949609401179295E-5,8.019673473694745E-5,1.8047585206873277E-4,0.0,0.0
